Trader_Type,Transaction_Type,Stock_Symbol,Trade_Volume,Sentiment_Score,Price_Impact,Transaction_Date
Insider,Sell,META,4919,-0.24,-0.29,2021-09-09
Insider,Sell,MSFT,7401,-0.49,-0.13,2023-12-31
Whale,Buy,BTC,55537,0.32,1.93,2020-04-15
Insider,Sell,NVDA,5323,-0.55,-0.39,2021-10-09
Whale,Sell,TSLA,607042,-0.77,-106.33,2023-02-05
Retail Investor,Sell,NVDA,401,-0.66,-0.03,2022-10-04
Retail Investor,Buy,GOOGL,42,0.82,0.01,2020-06-20
Insider,Buy,TSLA,4945,0.63,0.27,2021-01-08
Retail Investor,Sell,ETH,248,-0.3,-0.02,2022-03-29
Insider,Buy,AMZN,8579,0.74,1.47,2019-09-12
Retail Investor,Buy,META,188,0.53,0.01,2019-06-12
Whale,Buy,GOOGL,648101,0.72,100.6,2019-10-03
Insider,Sell,SPY,2287,-0.73,-0.22,2023-08-24
Whale,Buy,AAPL,103937,0.52,12.5,2020-01-04
Insider,Buy,NVDA,4334,0.68,0.11,2022-11-06
Whale,Sell,BTC,960736,-0.28,-23.1,2024-02-22
Insider,Buy,NVDA,4661,0.56,0.58,2020-10-04
Insider,Buy,AMZN,2352,0.43,0.03,2019-03-14
Insider,Sell,META,9283,-0.68,-0.17,2020-11-28
Whale,Sell,TSLA,852762,-0.32,-57.39,2022-01-15
Insider,Buy,BTC,2852,0.45,0.14,2021-01-03
Retail Investor,Buy,BTC,260,0.55,0.03,2019-03-02
Whale,Sell,GOOGL,914616,-0.61,-53.68,2019-07-21
Retail Investor,Buy,MSFT,313,0.45,0.04,2022-07-22
Retail Investor,Buy,AAPL,90,0.8,0.01,2020-04-11
Insider,Buy,META,7495,0.3,0.17,2023-09-21
Insider,Buy,AMZN,2088,0.47,0.21,2021-07-01
Whale,Sell,SPY,913253,-0.56,-85.74,2023-01-13
Retail Investor,Buy,NVDA,2,0.6,0.0,2022-12-11
Whale,Sell,BTC,520911,-0.62,-13.84,2019-10-04
Insider,Buy,MSFT,2094,0.81,0.45,2019-08-03
Retail Investor,Buy,SPY,50,0.38,0.0,2024-02-05
Retail Investor,Buy,MSFT,270,0.76,0.04,2021-02-11
Retail Investor,Buy,AAPL,6,0.82,0.0,2024-01-03
Insider,Sell,BTC,5259,-0.53,-0.7,2023-01-08
Retail Investor,Sell,BTC,328,-0.87,-0.05,2020-01-31
Whale,Buy,ETH,181028,0.68,23.05,2019-10-02
Whale,Sell,SPY,394253,-0.64,-8.23,2021-10-07
Whale,Buy,ETH,746366,0.6,119.22,2020-04-23
Insider,Sell,SPY,9624,-0.3,-0.75,2021-09-12
Whale,Sell,AAPL,527209,-0.85,-125.64,2023-11-14
Whale,Buy,AMZN,585340,0.78,50.29,2019-07-03
Insider,Buy,AMZN,1474,0.39,0.08,2019-08-28
Insider,Buy,MSFT,1230,0.32,0.03,2020-05-06
Whale,Sell,AAPL,459462,-0.24,-20.82,2023-04-02
Whale,Buy,AAPL,196419,0.79,11.27,2021-07-22
Insider,Buy,ETH,3376,0.47,0.23,2021-08-29
Insider,Buy,AAPL,8720,0.85,1.35,2021-02-13
Whale,Sell,MSFT,121134,-0.71,-21.86,2023-09-07
Retail Investor,Sell,GOOGL,29,-0.47,-0.0,2021-10-21
Insider,Buy,TSLA,3885,0.54,0.06,2021-12-15
Retail Investor,Sell,ETH,472,-0.34,-0.02,2021-05-25
Insider,Buy,AAPL,2518,0.44,0.11,2022-03-23
Retail Investor,Sell,NVDA,460,-0.57,-0.07,2022-05-23
Retail Investor,Sell,AAPL,219,-0.62,-0.02,2023-08-18
Whale,Sell,BTC,130190,-0.63,-12.07,2022-12-29
Retail Investor,Buy,BTC,447,0.26,0.03,2024-01-24
Insider,Buy,NVDA,5027,0.22,0.05,2021-12-08
Retail Investor,Buy,AAPL,115,0.74,0.02,2023-05-22
Whale,Sell,MSFT,996630,-0.58,-28.99,2023-05-06
Insider,Buy,GOOGL,6405,0.2,0.21,2021-09-06
Insider,Sell,MSFT,9824,-0.45,-0.37,2022-02-10
Retail Investor,Sell,META,451,-0.81,-0.05,2022-08-30
Insider,Sell,ETH,2219,-0.2,-0.04,2023-11-27
Insider,Sell,ETH,1058,-0.59,-0.14,2023-10-19
Insider,Buy,AAPL,7547,0.32,0.63,2022-01-17
Insider,Sell,ETH,3518,-0.44,-0.21,2021-05-11
Whale,Buy,ETH,987032,0.64,60.52,2020-10-03
Insider,Buy,ETH,8069,0.25,0.58,2021-07-21
Whale,Buy,NVDA,222930,0.68,29.64,2020-11-05
Insider,Sell,META,2095,-0.88,-0.16,2019-05-19
Insider,Buy,SPY,1281,0.89,0.28,2019-02-03
Retail Investor,Buy,MSFT,438,0.74,0.08,2020-12-02
Insider,Sell,META,3695,-0.37,-0.2,2019-07-11
Retail Investor,Sell,GOOGL,71,-0.67,-0.01,2023-05-18
Insider,Sell,META,7575,-0.61,-0.37,2022-01-12
Retail Investor,Buy,GOOGL,13,0.61,0.0,2021-03-01
Insider,Sell,AAPL,9873,-0.53,-0.95,2021-09-11
Whale,Sell,AAPL,565670,-0.7,-58.39,2019-12-31
Whale,Buy,META,683696,0.22,30.99,2022-12-14
Whale,Sell,AAPL,234201,-0.34,-8.47,2021-10-30
Whale,Buy,AMZN,946101,0.89,21.24,2022-11-18
Insider,Sell,META,6966,-0.3,-0.61,2023-07-28
Retail Investor,Buy,ETH,103,0.57,0.0,2022-04-18
Whale,Sell,META,743319,-0.35,-55.21,2024-01-06
Whale,Sell,AAPL,588768,-0.4,-59.41,2022-09-19
Retail Investor,Buy,AAPL,80,0.52,0.01,2019-10-13
Whale,Sell,GOOGL,856049,-0.5,-44.68,2022-11-19
Retail Investor,Sell,SPY,228,-0.88,-0.05,2023-05-15
Retail Investor,Buy,META,199,0.51,0.0,2022-04-24
Retail Investor,Buy,META,39,0.55,0.0,2023-12-09
Whale,Sell,BTC,519936,-0.68,-71.97,2020-06-07
Whale,Sell,TSLA,321296,-0.49,-11.48,2019-12-11
Retail Investor,Buy,GOOGL,163,0.88,0.02,2019-05-19
Insider,Sell,TSLA,8762,-0.6,-0.22,2023-08-22
Whale,Sell,ETH,373835,-0.7,-25.03,2020-07-03
Retail Investor,Sell,GOOGL,146,-0.41,-0.0,2022-07-02
Retail Investor,Sell,BTC,366,-0.87,-0.05,2021-04-04
Whale,Buy,AMZN,230330,0.23,0.78,2023-09-17
Insider,Buy,BTC,8720,0.62,0.96,2019-04-11
Retail Investor,Buy,AAPL,435,0.22,0.01,2020-07-10
Insider,Buy,TSLA,7233,0.32,0.4,2021-05-02
Insider,Sell,MSFT,6837,-0.28,-0.1,2023-05-23
Whale,Buy,AAPL,105505,0.5,6.34,2022-05-18
Whale,Buy,META,993714,0.76,28.4,2019-07-09
Retail Investor,Sell,MSFT,133,-0.78,-0.01,2023-11-18
Retail Investor,Buy,META,78,0.33,0.0,2021-11-25
Whale,Sell,GOOGL,43898,-0.57,-2.31,2022-09-20
Whale,Buy,META,923399,0.57,37.96,2021-09-07
Whale,Buy,GOOGL,418348,0.45,3.71,2023-06-20
Insider,Sell,NVDA,2810,-0.52,-0.29,2021-06-16
Whale,Sell,SPY,802489,-0.45,-84.48,2023-04-30
Whale,Buy,AAPL,979962,0.4,36.95,2021-08-15
Retail Investor,Sell,TSLA,354,-0.26,-0.03,2023-02-14
Whale,Buy,SPY,207073,0.26,10.12,2022-02-20
Insider,Buy,AMZN,2979,0.52,0.33,2023-03-02
Whale,Buy,GOOGL,297493,0.45,17.79,2020-04-30
Whale,Sell,MSFT,189334,-0.52,-8.97,2021-08-25
Whale,Buy,AMZN,140257,0.7,25.39,2024-01-17
Retail Investor,Sell,AMZN,84,-0.51,-0.0,2022-04-27
Whale,Buy,NVDA,696372,0.7,143.55,2022-01-07
Whale,Buy,BTC,369607,0.48,12.19,2023-12-27
Whale,Sell,MSFT,891082,-0.82,-166.28,2021-04-08
Whale,Buy,SPY,871056,0.77,151.15,2019-03-12
Retail Investor,Sell,META,213,-0.78,-0.01,2020-09-08
Retail Investor,Sell,TSLA,79,-0.36,-0.01,2023-03-15
Retail Investor,Buy,TSLA,37,0.27,0.0,2020-10-21
Retail Investor,Buy,GOOGL,110,0.29,0.0,2023-09-13
Retail Investor,Buy,NVDA,16,0.44,0.0,2023-03-15
Whale,Buy,ETH,51123,0.69,9.8,2020-08-08
Retail Investor,Sell,META,6,-0.45,-0.0,2020-04-25
Retail Investor,Sell,AMZN,418,-0.81,-0.01,2021-06-02
Insider,Buy,AAPL,3038,0.36,0.05,2020-08-04
Retail Investor,Sell,AMZN,410,-0.65,-0.07,2021-09-30
Whale,Buy,SPY,938358,0.85,199.04,2021-08-01
Retail Investor,Buy,META,211,0.88,0.05,2020-07-10
Whale,Sell,NVDA,529143,-0.47,-49.08,2020-05-05
Retail Investor,Buy,AMZN,19,0.26,0.0,2020-08-20
Insider,Sell,NVDA,3651,-0.85,-0.61,2021-05-04
Whale,Buy,SPY,315087,0.7,15.35,2023-04-28
Insider,Buy,ETH,1812,0.82,0.24,2019-11-09
Whale,Sell,SPY,567495,-0.6,-60.35,2022-01-06
Insider,Buy,BTC,1369,0.43,0.15,2020-10-11
Insider,Buy,AAPL,8630,0.41,1.01,2021-01-27
Insider,Sell,ETH,6526,-0.6,-0.94,2019-04-23
Retail Investor,Buy,MSFT,470,0.88,0.06,2022-08-25
Retail Investor,Buy,AAPL,37,0.59,0.0,2022-01-25
Whale,Sell,GOOGL,198480,-0.68,-5.44,2022-03-10
Retail Investor,Buy,ETH,204,0.4,0.0,2023-12-28
Whale,Sell,ETH,704221,-0.69,-139.4,2022-01-23
Whale,Buy,GOOGL,88175,0.58,10.12,2022-10-16
Insider,Sell,NVDA,3651,-0.37,-0.21,2020-12-27
Insider,Buy,TSLA,2657,0.33,0.22,2021-07-30
Insider,Sell,ETH,9388,-0.5,-0.18,2023-06-27
Insider,Buy,AMZN,7974,0.43,0.12,2019-05-03
Whale,Sell,SPY,553410,-0.88,-120.23,2019-03-22
Retail Investor,Sell,NVDA,132,-0.22,-0.0,2022-05-26
Whale,Sell,TSLA,582867,-0.69,-102.42,2023-04-02
Retail Investor,Sell,MSFT,309,-0.28,-0.02,2022-03-24
Insider,Sell,BTC,3958,-0.47,-0.36,2019-04-24
Retail Investor,Buy,AAPL,85,0.46,0.01,2021-09-22
Insider,Sell,NVDA,1762,-0.77,-0.16,2024-01-17
Retail Investor,Buy,GOOGL,221,0.62,0.01,2020-11-07
Insider,Sell,TSLA,8471,-0.57,-0.9,2019-01-12
Retail Investor,Sell,ETH,136,-0.52,-0.01,2023-01-21
Whale,Sell,SPY,915953,-0.4,-66.16,2020-10-02
Retail Investor,Sell,META,174,-0.47,-0.01,2022-08-05
Whale,Buy,BTC,639157,0.51,10.86,2019-10-11
Retail Investor,Sell,BTC,40,-0.43,-0.0,2023-02-07
Insider,Sell,GOOGL,1640,-0.77,-0.36,2019-08-18
Retail Investor,Buy,AMZN,220,0.87,0.04,2020-12-02
Whale,Sell,SPY,538545,-0.85,-63.55,2023-04-21
Whale,Buy,ETH,382778,0.45,36.13,2022-01-28
Retail Investor,Buy,AAPL,131,0.71,0.02,2021-07-22
Insider,Buy,AAPL,4475,0.34,0.33,2022-02-24
Retail Investor,Buy,AMZN,362,0.81,0.04,2023-10-06
Retail Investor,Buy,META,261,0.24,0.0,2020-11-21
Retail Investor,Buy,SPY,31,0.45,0.0,2019-05-18
Whale,Sell,ETH,315019,-0.42,-33.26,2022-05-13
Retail Investor,Buy,AAPL,218,0.37,0.02,2019-03-11
Whale,Buy,BTC,602957,0.79,78.01,2021-11-08
Retail Investor,Sell,NVDA,17,-0.71,-0.0,2022-09-26
Whale,Sell,AMZN,176633,-0.59,-30.89,2022-03-01
Retail Investor,Buy,SPY,222,0.63,0.03,2022-10-05
Insider,Buy,NVDA,4284,0.84,0.7,2019-10-28
Retail Investor,Buy,SPY,350,0.35,0.02,2020-04-14
Insider,Buy,META,2223,0.25,0.11,2021-08-10
Whale,Buy,GOOGL,321779,0.22,3.68,2020-12-05
Whale,Sell,META,97839,-0.25,-1.5,2020-02-12
Retail Investor,Sell,ETH,458,-0.5,-0.03,2020-04-06
Insider,Buy,SPY,4460,0.6,0.73,2020-04-13
Insider,Buy,NVDA,6089,0.32,0.12,2023-09-11
Retail Investor,Buy,ETH,97,0.25,0.0,2023-12-02
Insider,Buy,AAPL,7547,0.8,1.39,2023-08-20
Insider,Sell,MSFT,6024,-0.4,-0.08,2022-03-24
Retail Investor,Sell,MSFT,485,-0.72,-0.09,2021-07-17
Insider,Sell,META,1313,-0.69,-0.14,2021-05-21
Whale,Buy,ETH,804737,0.88,141.55,2022-06-21
Whale,Sell,TSLA,690951,-0.44,-74.01,2019-04-09
Insider,Buy,MSFT,1081,0.34,0.09,2021-03-04
Whale,Sell,MSFT,828378,-0.47,-112.07,2019-07-03
Retail Investor,Sell,AMZN,181,-0.57,-0.03,2022-07-01
Retail Investor,Sell,AMZN,23,-0.57,-0.0,2019-03-31
Whale,Sell,AMZN,781352,-0.77,-136.92,2022-03-06
Insider,Sell,MSFT,6306,-0.83,-0.87,2021-05-16
Retail Investor,Buy,TSLA,195,0.86,0.01,2024-01-25
Whale,Buy,NVDA,944774,0.58,106.53,2021-05-16
Retail Investor,Sell,TSLA,36,-0.5,-0.0,2020-10-29
Insider,Sell,SPY,1384,-0.57,-0.04,2023-10-26
Retail Investor,Sell,MSFT,51,-0.73,-0.0,2022-02-26
Insider,Sell,BTC,5403,-0.71,-0.48,2019-11-08
Insider,Sell,NVDA,5236,-0.79,-0.18,2021-02-07
Insider,Sell,SPY,2436,-0.88,-0.44,2023-08-09
Insider,Sell,META,3983,-0.61,-0.33,2023-03-26
Whale,Buy,MSFT,432514,0.59,75.1,2022-10-19
Retail Investor,Buy,MSFT,419,0.62,0.02,2020-02-23
Retail Investor,Sell,NVDA,183,-0.68,-0.02,2022-02-22
Insider,Sell,SPY,6917,-0.87,-1.13,2019-06-10
Insider,Sell,AAPL,4289,-0.6,-0.44,2021-04-09
Insider,Sell,AAPL,6667,-0.26,-0.13,2020-02-20
Retail Investor,Sell,GOOGL,4,-0.27,-0.0,2020-11-20
Whale,Sell,TSLA,384059,-0.73,-16.45,2021-08-25
Insider,Sell,AAPL,5159,-0.24,-0.29,2021-07-03
Insider,Buy,META,4422,0.72,0.28,2020-08-21
Insider,Sell,ETH,3271,-0.59,-0.26,2020-01-04
Retail Investor,Buy,META,366,0.38,0.01,2021-01-07
Retail Investor,Sell,AMZN,298,-0.69,-0.03,2019-05-14
Whale,Buy,NVDA,89649,0.32,0.72,2019-12-22
Insider,Buy,MSFT,7586,0.5,0.98,2020-09-18
Retail Investor,Sell,ETH,476,-0.26,-0.01,2021-10-10
Insider,Buy,TSLA,8175,0.31,0.28,2019-07-05
Retail Investor,Buy,ETH,271,0.2,0.0,2022-01-13
Retail Investor,Buy,META,122,0.48,0.02,2022-04-18
Insider,Sell,TSLA,5556,-0.56,-0.33,2019-07-10
Retail Investor,Buy,AMZN,379,0.59,0.05,2023-05-12
Whale,Buy,SPY,109549,0.42,4.53,2021-12-11
Retail Investor,Buy,GOOGL,129,0.68,0.0,2022-03-11
Retail Investor,Sell,MSFT,365,-0.25,-0.0,2020-08-24
Whale,Sell,ETH,908062,-0.87,-62.62,2020-09-06
Retail Investor,Buy,AAPL,328,0.37,0.01,2021-02-26
Whale,Buy,TSLA,719385,0.26,28.56,2019-10-25
Whale,Sell,TSLA,750583,-0.29,-36.25,2020-07-29
Insider,Buy,TSLA,1988,0.88,0.18,2021-09-09
Retail Investor,Buy,NVDA,30,0.82,0.0,2020-01-30
Whale,Sell,NVDA,996169,-0.88,-183.53,2023-06-10
Whale,Buy,AAPL,366265,0.33,18.14,2019-02-13
Whale,Buy,TSLA,264663,0.63,38.59,2023-05-08
Whale,Sell,SPY,911471,-0.6,-91.24,2023-07-23
Whale,Sell,SPY,18615,-0.28,-0.09,2020-12-29
Whale,Sell,AAPL,322309,-0.74,-50.3,2019-09-11
Insider,Sell,BTC,5129,-0.73,-0.6,2024-01-18
Whale,Sell,META,965975,-0.89,-189.05,2022-03-18
Whale,Buy,ETH,176311,0.37,7.23,2022-06-28
Whale,Sell,BTC,869936,-0.49,-21.49,2019-09-04
Retail Investor,Sell,AAPL,248,-0.64,-0.0,2021-08-20
Insider,Sell,MSFT,9772,-0.76,-1.43,2023-12-25
Retail Investor,Buy,AAPL,381,0.31,0.02,2021-06-19
Retail Investor,Buy,MSFT,371,0.32,0.02,2019-12-16
Whale,Sell,ETH,134818,-0.49,-19.48,2023-02-03
Retail Investor,Buy,TSLA,420,0.74,0.08,2020-06-13
Retail Investor,Sell,MSFT,477,-0.29,-0.03,2019-06-13
Retail Investor,Sell,AMZN,393,-0.38,-0.02,2022-06-28
Retail Investor,Sell,BTC,142,-0.67,-0.02,2019-10-04
Retail Investor,Sell,AMZN,472,-0.53,-0.03,2020-09-17
Retail Investor,Buy,SPY,102,0.45,0.01,2019-07-31
Whale,Buy,AAPL,391184,0.78,45.15,2022-03-31
Retail Investor,Sell,TSLA,48,-0.66,-0.01,2022-02-10
Whale,Buy,NVDA,676883,0.75,92.65,2019-06-27
Whale,Buy,ETH,978631,0.51,46.47,2019-04-15
Retail Investor,Buy,MSFT,367,0.3,0.02,2022-01-25
Retail Investor,Sell,AAPL,181,-0.6,-0.02,2019-11-19
Whale,Sell,AMZN,832243,-0.43,-58.98,2021-11-01
Insider,Sell,NVDA,2895,-0.41,-0.07,2021-10-16
Whale,Buy,BTC,916588,0.78,124.39,2023-01-03
Whale,Buy,MSFT,216525,0.69,37.81,2020-01-11
Whale,Sell,NVDA,975716,-0.39,-84.85,2023-04-08
Insider,Buy,META,8368,0.48,0.46,2021-11-23
Whale,Sell,NVDA,126930,-0.33,-7.28,2019-01-30
Whale,Buy,MSFT,78579,0.55,12.86,2023-10-23
Whale,Buy,AAPL,150827,0.32,13.72,2020-12-19
Whale,Sell,ETH,806042,-0.67,-107.74,2023-02-26
Retail Investor,Buy,GOOGL,344,0.53,0.04,2019-02-12
Retail Investor,Buy,GOOGL,126,0.35,0.0,2021-12-03
Whale,Sell,AMZN,794226,-0.85,-98.89,2019-12-07
Whale,Sell,NVDA,348135,-0.58,-38.29,2021-09-04
Whale,Buy,META,413963,0.76,18.6,2024-02-24
Retail Investor,Buy,ETH,308,0.4,0.03,2021-07-19
Retail Investor,Sell,BTC,441,-0.3,-0.02,2019-01-03
Retail Investor,Buy,MSFT,312,0.58,0.04,2020-03-17
Whale,Buy,META,350598,0.39,35.99,2020-12-22
Retail Investor,Sell,MSFT,403,-0.35,-0.02,2021-07-02
Insider,Buy,GOOGL,2890,0.38,0.21,2023-06-21
Insider,Sell,BTC,8104,-0.47,-0.69,2019-12-11
Insider,Buy,GOOGL,7034,0.54,0.35,2019-02-13
Retail Investor,Buy,SPY,140,0.56,0.01,2021-05-06
Retail Investor,Buy,AMZN,276,0.55,0.01,2022-09-26
Whale,Sell,TSLA,415874,-0.8,-29.48,2020-11-03
Whale,Buy,BTC,822127,0.89,207.89,2019-03-10
Insider,Buy,SPY,1703,0.74,0.19,2022-01-13
Retail Investor,Buy,AAPL,383,0.89,0.02,2021-08-28
Insider,Buy,AAPL,5715,0.25,0.21,2022-04-08
Insider,Buy,AAPL,2366,0.4,0.03,2021-03-31
Whale,Buy,NVDA,904436,0.2,51.54,2022-09-15
Insider,Buy,TSLA,9158,0.78,1.09,2021-07-25
Whale,Sell,META,52860,-0.29,-3.42,2022-09-06
Insider,Buy,AAPL,4656,0.42,0.56,2020-04-10
Insider,Sell,SPY,9296,-0.61,-0.62,2020-05-27
Whale,Buy,AAPL,466211,0.79,70.28,2021-02-16
Retail Investor,Sell,META,170,-0.61,-0.01,2021-09-22
Insider,Buy,META,5600,0.84,0.54,2019-06-14
Retail Investor,Buy,META,56,0.4,0.01,2022-09-10
Whale,Sell,AMZN,220406,-0.58,-31.43,2021-12-11
Whale,Buy,META,407321,0.22,26.47,2019-05-01
Insider,Buy,GOOGL,7044,0.23,0.2,2023-01-06
Whale,Sell,GOOGL,483677,-0.52,-43.11,2019-10-26
Insider,Buy,BTC,4306,0.35,0.27,2020-12-23
Retail Investor,Sell,AMZN,475,-0.75,-0.06,2021-09-14
Insider,Buy,AMZN,2904,0.7,0.23,2021-04-24
Insider,Sell,AAPL,1204,-0.81,-0.12,2019-11-23
Insider,Buy,SPY,5936,0.3,0.26,2019-03-13
Retail Investor,Sell,ETH,178,-0.39,-0.01,2023-04-07
Whale,Buy,NVDA,151766,0.74,9.83,2020-02-25
Retail Investor,Buy,GOOGL,255,0.71,0.04,2022-09-02
Whale,Sell,ETH,256222,-0.82,-45.54,2022-10-06
Retail Investor,Sell,MSFT,415,-0.65,-0.02,2021-01-16
Whale,Sell,TSLA,812410,-0.37,-73.13,2021-03-04
Insider,Sell,AMZN,1367,-0.54,-0.06,2021-01-02
Whale,Sell,SPY,431610,-0.36,-30.34,2023-07-17
Retail Investor,Buy,MSFT,16,0.34,0.0,2021-11-27
Retail Investor,Buy,META,89,0.67,0.01,2019-09-08
Whale,Buy,ETH,365939,0.31,22.49,2019-03-20
Retail Investor,Buy,SPY,74,0.76,0.01,2022-01-20
Whale,Sell,TSLA,449188,-0.24,-3.59,2019-06-28
Insider,Sell,MSFT,1557,-0.45,-0.02,2020-09-30
Insider,Sell,SPY,4356,-0.63,-0.26,2022-12-03
Whale,Buy,GOOGL,436993,0.78,10.78,2020-09-13
Insider,Sell,META,1671,-0.44,-0.07,2020-05-24
Retail Investor,Buy,ETH,272,0.63,0.01,2019-12-25
Retail Investor,Sell,BTC,242,-0.79,-0.01,2020-09-26
Retail Investor,Sell,MSFT,456,-0.38,-0.03,2020-10-24
Retail Investor,Sell,MSFT,333,-0.66,-0.05,2021-11-26
Retail Investor,Buy,GOOGL,462,0.32,0.01,2023-06-27
Whale,Buy,ETH,818420,0.25,51.57,2022-05-11
Insider,Sell,META,9932,-0.25,-0.1,2023-08-03
Whale,Sell,GOOGL,314324,-0.25,-8.02,2023-09-27
Insider,Buy,MSFT,1321,0.56,0.18,2020-02-07
Whale,Buy,NVDA,925087,0.6,41.65,2021-07-13
Insider,Sell,AMZN,4944,-0.83,-1.19,2020-09-01
Insider,Sell,NVDA,6559,-0.28,-0.24,2019-12-05
Whale,Sell,ETH,621870,-0.86,-79.1,2021-01-30
Whale,Buy,NVDA,580715,0.35,14.35,2023-05-03
Whale,Buy,MSFT,698134,0.56,82.88,2019-01-12
Whale,Sell,AAPL,879305,-0.36,-56.68,2019-10-22
Retail Investor,Buy,ETH,314,0.59,0.02,2021-09-15
Retail Investor,Sell,SPY,325,-0.59,-0.05,2020-10-31
Whale,Buy,META,474998,0.73,55.57,2019-07-05
Retail Investor,Sell,GOOGL,414,-0.28,-0.02,2021-03-07
Insider,Buy,MSFT,2763,0.4,0.09,2020-03-14
Whale,Buy,META,512603,0.74,98.51,2020-02-24
Insider,Buy,SPY,8186,0.44,0.62,2019-01-03
Retail Investor,Buy,ETH,419,0.55,0.06,2020-12-11
Whale,Buy,GOOGL,505229,0.46,50.34,2019-03-10
Insider,Sell,SPY,6261,-0.84,-1.1,2021-01-25
Whale,Sell,SPY,683022,-0.37,-7.24,2022-11-14
Retail Investor,Buy,MSFT,100,0.44,0.01,2022-05-14
Insider,Buy,GOOGL,5319,0.65,0.85,2019-06-22
Insider,Buy,ETH,1558,0.82,0.37,2021-01-31
Retail Investor,Sell,MSFT,176,-0.26,-0.01,2022-10-05
Retail Investor,Sell,ETH,392,-0.46,-0.02,2022-06-19
Whale,Buy,NVDA,183670,0.39,17.3,2019-05-08
Retail Investor,Buy,TSLA,481,0.85,0.01,2020-08-31
Retail Investor,Buy,TSLA,448,0.57,0.06,2019-08-13
Whale,Buy,AAPL,293110,0.3,22.83,2019-11-16
Insider,Buy,TSLA,5507,0.44,0.64,2022-04-23
Retail Investor,Sell,SPY,59,-0.22,-0.0,2019-07-27
Insider,Sell,BTC,8634,-0.72,-1.18,2022-03-01
Whale,Sell,META,119636,-0.63,-6.79,2020-08-10
Insider,Sell,AMZN,2472,-0.68,-0.46,2022-12-05
Retail Investor,Buy,AAPL,352,0.81,0.04,2024-02-03
Retail Investor,Buy,MSFT,494,0.55,0.07,2024-02-16
Whale,Buy,ETH,106913,0.84,16.04,2019-07-08
Insider,Buy,NVDA,9527,0.39,0.58,2024-02-16
Retail Investor,Buy,AAPL,46,0.78,0.01,2021-07-29
Retail Investor,Sell,SPY,102,-0.72,-0.01,2022-11-28
Whale,Buy,TSLA,101087,0.76,13.72,2023-07-24
Retail Investor,Buy,META,317,0.34,0.02,2023-01-11
Insider,Sell,AAPL,8657,-0.47,-0.64,2022-12-21
Retail Investor,Sell,SPY,30,-0.49,-0.0,2022-02-12
Insider,Buy,MSFT,5588,0.88,1.21,2023-09-29
Insider,Sell,AMZN,3246,-0.86,-0.78,2019-07-02
Insider,Sell,MSFT,8765,-0.64,-1.68,2022-04-10
Retail Investor,Buy,GOOGL,72,0.54,0.01,2020-05-30
Retail Investor,Sell,NVDA,333,-0.44,-0.0,2021-11-24
Whale,Buy,AAPL,793939,0.5,112.51,2019-10-24
Retail Investor,Buy,BTC,459,0.59,0.0,2021-09-19
Retail Investor,Sell,TSLA,248,-0.71,-0.0,2023-09-07
Insider,Sell,AAPL,4826,-0.61,-0.55,2021-08-23
Whale,Buy,GOOGL,625164,0.45,14.69,2020-07-21
Retail Investor,Buy,TSLA,379,0.77,0.09,2019-05-03
Insider,Buy,AMZN,2028,0.32,0.1,2022-04-29
Retail Investor,Buy,GOOGL,340,0.84,0.02,2022-11-09
Retail Investor,Sell,TSLA,382,-0.75,-0.04,2022-02-23
Retail Investor,Buy,NVDA,173,0.51,0.01,2020-07-05
Insider,Buy,NVDA,6266,0.24,0.09,2021-06-19
Insider,Buy,TSLA,4034,0.53,0.15,2020-11-21
Whale,Sell,BTC,343479,-0.49,-16.6,2020-12-05
Whale,Sell,ETH,392957,-0.45,-24.07,2021-01-28
Retail Investor,Buy,ETH,2,0.72,0.0,2021-11-21
Retail Investor,Buy,GOOGL,230,0.58,0.02,2019-06-17
Whale,Buy,GOOGL,930433,0.32,11.98,2019-08-06
Whale,Buy,AAPL,814918,0.73,142.15,2022-12-19
Whale,Sell,MSFT,858571,-0.6,-7.53,2019-06-11
Insider,Sell,BTC,4560,-0.28,-0.05,2019-10-27
Insider,Buy,MSFT,1197,0.89,0.02,2021-11-13
Whale,Buy,GOOGL,469537,0.76,94.59,2021-06-01
Insider,Sell,GOOGL,8534,-0.56,-0.26,2023-12-30
Insider,Buy,GOOGL,1174,0.86,0.09,2020-12-31
Whale,Buy,META,66406,0.84,9.42,2022-10-31
Retail Investor,Buy,MSFT,348,0.6,0.04,2020-08-17
Whale,Buy,AAPL,925009,0.57,55.59,2019-07-04
Retail Investor,Buy,GOOGL,143,0.83,0.02,2019-12-07
Insider,Sell,NVDA,8344,-0.67,-1.32,2019-07-12
Insider,Sell,NVDA,4513,-0.71,-0.06,2022-04-28
Insider,Sell,MSFT,9450,-0.34,-0.66,2023-08-02
Retail Investor,Buy,AMZN,28,0.36,0.0,2024-02-24
Retail Investor,Sell,AAPL,311,-0.44,-0.04,2022-08-13
Retail Investor,Buy,SPY,402,0.34,0.01,2019-03-14
Retail Investor,Sell,NVDA,427,-0.27,-0.02,2022-02-07
Insider,Buy,TSLA,4628,0.81,0.83,2019-07-06
Whale,Buy,ETH,873743,0.34,32.85,2019-03-12
Whale,Buy,TSLA,239790,0.21,8.91,2020-03-12
Whale,Sell,AAPL,82341,-0.82,-1.0,2020-03-07
Insider,Buy,ETH,7059,0.56,1.02,2023-12-11
